directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-109/,N193-109_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0001.tif,N193-109,1928-01-01,1928-03-01,1928,6114,5000,3,"50,1808,3219"
AU NBAC N193-109/,N193-109_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0002.tif,N193-109,1928-01-01,1928-03-01,1928,6095,5000,4,"62,1437,2541,3652"
AU NBAC N193-109/,N193-109_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0003.tif,N193-109,1928-01-01,1928-03-01,1928,6076,5000,3,"75,1848,3250"
AU NBAC N193-109/,N193-109_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0004.tif,N193-109,1928-01-01,1928-03-01,1928,6076,5000,4,"79,1452,2552,3660"
AU NBAC N193-109/,N193-109_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0005.tif,N193-109,1928-01-01,1928-03-01,1928,6080,5000,3,"79,1848,3249"
AU NBAC N193-109/,N193-109_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0006.tif,N193-109,1928-01-01,1928-03-01,1928,6072,5000,3,"367,1859,3259"
AU NBAC N193-109/,N193-109_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0007.tif,N193-109,1928-01-01,1928-03-01,1928,6075,5000,4,"317,1435,2536,3643"
AU NBAC N193-109/,N193-109_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0008.tif,N193-109,1928-01-01,1928-03-01,1928,6069,5000,3,"316,1823,3227"
AU NBAC N193-109/,N193-109_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0009.tif,N193-109,1928-01-01,1928-03-01,1928,6067,5000,4,"310,1425,2527,3634"
AU NBAC N193-109/,N193-109_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0010.tif,N193-109,1928-01-01,1928-03-01,1928,6065,5000,3,"346,1834,3236"
AU NBAC N193-109/,N193-109_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0011.tif,N193-109,1928-01-01,1928-03-01,1928,6086,5000,3,"258,1770,3174"
AU NBAC N193-109/,N193-109_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0012.tif,N193-109,1928-01-01,1928-03-01,1928,6067,5000,4,"302,1402,2505,3610"
AU NBAC N193-109/,N193-109_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0013.tif,N193-109,1928-01-01,1928-03-01,1928,6075,5000,3,"286,1797,3199"
AU NBAC N193-109/,N193-109_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-109/N193-109_0014.tif,N193-109,1928-01-01,1928-03-01,1928,6072,5000,4,"301,1407,2508,3614"
