,directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions,page_date
0,AU NBAC N193-013/,N193-013_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0001.tif,N193-013,1904-01-01,1904-03-01,1904,6325,5000,3,"256,1970,3411",1904-01-05
1,AU NBAC N193-013/,N193-013_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0002.tif,N193-013,1904-01-01,1904-03-01,1904,6297,5000,3,"73,1986,3424",1904-01-05
2,AU NBAC N193-013/,N193-013_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0003.tif,N193-013,1904-01-01,1904-03-01,1904,6303,5000,2,"77,2222",1904-01-05
3,AU NBAC N193-013/,N193-013_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0004.tif,N193-013,1904-01-01,1904-03-01,1904,6310,5000,3,"70,1979,3419",1904-01-05
4,AU NBAC N193-013/,N193-013_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0005.tif,N193-013,1904-01-01,1904-03-01,1904,6306,5000,2,"92,2230",1904-01-05
5,AU NBAC N193-013/,N193-013_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0006.tif,N193-013,1904-01-01,1904-03-01,1904,6317,5000,3,"73,1971,3411",1904-01-06
6,AU NBAC N193-013/,N193-013_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0007.tif,N193-013,1904-01-01,1904-03-01,1904,6307,5000,3,"85,1980,3419",1904-01-06
7,AU NBAC N193-013/,N193-013_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0008.tif,N193-013,1904-01-01,1904-03-01,1904,6306,5000,2,"85,2239",1904-01-06
8,AU NBAC N193-013/,N193-013_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0009.tif,N193-013,1904-01-01,1904-03-01,1904,6320,5000,3,"83,1972,3416",1904-01-06
9,AU NBAC N193-013/,N193-013_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0010.tif,N193-013,1904-01-01,1904-03-01,1904,6317,5000,2,"95,2214",1904-01-06
10,AU NBAC N193-013/,N193-013_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0011.tif,N193-013,1904-01-01,1904-03-01,1904,6327,5000,3,"271,1965,3409",1904-01-07
11,AU NBAC N193-013/,N193-013_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0012.tif,N193-013,1904-01-01,1904-03-01,1904,6320,5000,3,"277,1966,3407",1904-01-07
12,AU NBAC N193-013/,N193-013_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0013.tif,N193-013,1904-01-01,1904-03-01,1904,6320,5000,2,"265,2192",1904-01-07
13,AU NBAC N193-013/,N193-013_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0014.tif,N193-013,1904-01-01,1904-03-01,1904,6344,5000,3,"247,1942,3388",1904-01-07
14,AU NBAC N193-013/,N193-013_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0015.tif,N193-013,1904-01-01,1904-03-01,1904,6328,5000,2,"256,2198",1904-01-07
15,AU NBAC N193-013/,N193-013_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0016.tif,N193-013,1904-01-01,1904-03-01,1904,6328,5000,3,"254,1950,3395",1904-01-08
16,AU NBAC N193-013/,N193-013_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0017.tif,N193-013,1904-01-01,1904-03-01,1904,6323,5000,3,"342,1948,3391",1904-01-08
