,directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions,page_date
0,AU NBAC N193-021/,N193-021_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0001.tif,N193-021,1906-01-01,1906-03-01,1906,6356,5000,3,"66,1874,3339",1906-01-04
1,AU NBAC N193-021/,N193-021_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0002.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"0,1869,3336",1906-01-04
2,AU NBAC N193-021/,N193-021_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0003.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,2,"98,1977",1906-01-04
3,AU NBAC N193-021/,N193-021_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0004.tif,N193-021,1906-01-01,1906-03-01,1906,6284,5000,3,"106,1889,3353",1906-01-04
4,AU NBAC N193-021/,N193-021_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0005.tif,N193-021,1906-01-01,1906-03-01,1906,6284,5000,2,"4,1970",1906-01-04
5,AU NBAC N193-021/,N193-021_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0006.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"10,1864,3335",1906-01-05
6,AU NBAC N193-021/,N193-021_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0007.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"97,1866,3338",1906-01-05
7,AU NBAC N193-021/,N193-021_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0008.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,2,"95,1960",1906-01-05
8,AU NBAC N193-021/,N193-021_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0009.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"94,1861,3333",1906-01-05
9,AU NBAC N193-021/,N193-021_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0010.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,2,"93,1949",1906-01-05
10,AU NBAC N193-021/,N193-021_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0011.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"90,1843,3313",1906-01-06
11,AU NBAC N193-021/,N193-021_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0012.tif,N193-021,1906-01-01,1906-03-01,1906,6243,5000,2,"112,1951",1906-01-06
12,AU NBAC N193-021/,N193-021_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0013.tif,N193-021,1906-01-01,1906-03-01,1906,6258,5000,3,"107,1858,3321",1906-01-08
13,AU NBAC N193-021/,N193-021_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0014.tif,N193-021,1906-01-01,1906-03-01,1906,6258,5000,3,"100,1858,3321",1906-01-08
14,AU NBAC N193-021/,N193-021_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0015.tif,N193-021,1906-01-01,1906-03-01,1906,6258,5000,2,"87,1928",1906-01-08
15,AU NBAC N193-021/,N193-021_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0016.tif,N193-021,1906-01-01,1906-03-01,1906,6251,5000,3,"135,1845,3314",1906-01-08
16,AU NBAC N193-021/,N193-021_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0017.tif,N193-021,1906-01-01,1906-03-01,1906,6251,5000,2,"105,1941",1906-01-08
