directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-013/,N193-013_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0001.tif,N193-013,1904-01-01,1904-03-01,1904,6325,5000,3,"256,1970,3411"
AU NBAC N193-013/,N193-013_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0002.tif,N193-013,1904-01-01,1904-03-01,1904,6297,5000,3,"73,1986,3424"
AU NBAC N193-013/,N193-013_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0003.tif,N193-013,1904-01-01,1904-03-01,1904,6303,5000,2,"77,2222"
AU NBAC N193-013/,N193-013_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0004.tif,N193-013,1904-01-01,1904-03-01,1904,6310,5000,3,"70,1979,3419"
AU NBAC N193-013/,N193-013_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0005.tif,N193-013,1904-01-01,1904-03-01,1904,6306,5000,2,"92,2230"
AU NBAC N193-013/,N193-013_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0006.tif,N193-013,1904-01-01,1904-03-01,1904,6317,5000,3,"73,1971,3411"
AU NBAC N193-013/,N193-013_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0007.tif,N193-013,1904-01-01,1904-03-01,1904,6307,5000,3,"85,1980,3419"
AU NBAC N193-013/,N193-013_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0008.tif,N193-013,1904-01-01,1904-03-01,1904,6306,5000,2,"85,2239"
AU NBAC N193-013/,N193-013_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0009.tif,N193-013,1904-01-01,1904-03-01,1904,6320,5000,3,"83,1972,3416"
AU NBAC N193-013/,N193-013_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0010.tif,N193-013,1904-01-01,1904-03-01,1904,6317,5000,2,"95,2214"
AU NBAC N193-013/,N193-013_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0011.tif,N193-013,1904-01-01,1904-03-01,1904,6327,5000,3,"271,1965,3409"
AU NBAC N193-013/,N193-013_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0012.tif,N193-013,1904-01-01,1904-03-01,1904,6320,5000,3,"277,1966,3407"
AU NBAC N193-013/,N193-013_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0013.tif,N193-013,1904-01-01,1904-03-01,1904,6320,5000,2,"265,2192"
AU NBAC N193-013/,N193-013_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0014.tif,N193-013,1904-01-01,1904-03-01,1904,6344,5000,3,"247,1942,3388"
AU NBAC N193-013/,N193-013_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0015.tif,N193-013,1904-01-01,1904-03-01,1904,6328,5000,2,"256,2198"
AU NBAC N193-013/,N193-013_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0016.tif,N193-013,1904-01-01,1904-03-01,1904,6328,5000,3,"254,1950,3395"
AU NBAC N193-013/,N193-013_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0017.tif,N193-013,1904-01-01,1904-03-01,1904,6323,5000,3,"342,1948,3391"
AU NBAC N193-013/,N193-013_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0018.tif,N193-013,1904-01-01,1904-03-01,1904,6347,5000,2,"85,2176"
AU NBAC N193-013/,N193-013_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0019.tif,N193-013,1904-01-01,1904-03-01,1904,6234,5000,3,"303,1795,3218"
AU NBAC N193-013/,N193-013_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0020.tif,N193-013,1904-01-01,1904-03-01,1904,6220,5000,2,"300,2208"
AU NBAC N193-013/,N193-013_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0021.tif,N193-013,1904-01-01,1904-03-01,1904,6234,5000,3,"286,1796,3218"
AU NBAC N193-013/,N193-013_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0022.tif,N193-013,1904-01-01,1904-03-01,1904,6228,5000,2,"294,2199"
AU NBAC N193-013/,N193-013_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0023.tif,N193-013,1904-01-01,1904-03-01,1904,6268,5000,3,"260,1784,3211"
AU NBAC N193-013/,N193-013_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-013/N193-013_0024.tif,N193-013,1904-01-01,1904-03-01,1904,6257,5000,3,"251,1772,3198"
