,directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions,page_date
0,AU NBAC N193-009/,N193-009_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0001.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"176,1620,3120",1903-01-05
1,AU NBAC N193-009/,N193-009_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0002.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"0,1723,3223",1903-01-05
2,AU NBAC N193-009/,N193-009_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0003.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"0,2234",1903-01-05
3,AU NBAC N193-009/,N193-009_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0004.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"284,1704,3204",1903-01-05
4,AU NBAC N193-009/,N193-009_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0005.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"0,2235",1903-01-05
5,AU NBAC N193-009/,N193-009_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0006.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"257,1729,3229",1903-01-06
6,AU NBAC N193-009/,N193-009_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0007.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"252,1728,3228",1903-01-06
7,AU NBAC N193-009/,N193-009_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0008.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"266,2266",1903-01-06
8,AU NBAC N193-009/,N193-009_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0009.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"257,2258",1903-01-06
9,AU NBAC N193-009/,N193-009_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0010.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"232,1712,3212",1903-01-07
10,AU NBAC N193-009/,N193-009_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0011.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"225,1705,3204",1903-01-07
11,AU NBAC N193-009/,N193-009_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0012.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"234,2243",1903-01-07
12,AU NBAC N193-009/,N193-009_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0013.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"236,1726,3226",1903-01-07
13,AU NBAC N193-009/,N193-009_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0014.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"233,2242",1903-01-07
14,AU NBAC N193-009/,N193-009_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0015.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"243,1710,3210",1903-01-08
15,AU NBAC N193-009/,N193-009_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0016.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"240,1722,3220",1903-01-08
16,AU NBAC N193-009/,N193-009_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0017.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"262,2252",1903-01-08
17,AU NBAC N193-009/,N193-009_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0018.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"164,1658,3160",1903-01-08
18,AU NBAC N193-009/,N193-009_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0019.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"261,2278",1903-01-08
19,AU NBAC N193-009/,N193-009_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0020.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"212,1689,3189",1903-01-09
20,AU NBAC N193-009/,N193-009_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0021.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"214,2234",1903-01-09
21,AU NBAC N193-009/,N193-009_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0022.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"231,1705,3204",1903-01-09
22,AU NBAC N193-009/,N193-009_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0023.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"236,2256",1903-01-09
23,AU NBAC N193-009/,N193-009_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0024.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"228,1724,3224",1903-01-10
24,AU NBAC N193-009/,N193-009_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0025.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"284,2249",1903-01-10
25,AU NBAC N193-009/,N193-009_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0026.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"231,1665,3162",1903-01-12
