directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-157/,N193-157_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0001.tif,N193-157,1940-01-01,1940-03-01,1940,6390,5000,4,"63,1292,2476,3669"
AU NBAC N193-157/,N193-157_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0002.tif,N193-157,1940-01-01,1940-03-01,1940,6390,5000,4,"38,1259,2434,3621"
AU NBAC N193-157/,N193-157_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0003.tif,N193-157,1940-01-01,1940-03-01,1940,6390,5000,3,"96,1719,3227"
AU NBAC N193-157/,N193-157_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0004.tif,N193-157,1940-01-01,1940-03-01,1940,6390,5000,4,"92,1271,2452,3647"
AU NBAC N193-157/,N193-157_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0005.tif,N193-157,1940-01-01,1940-03-01,1940,6270,5000,4,"183,1326,2477,3638"
AU NBAC N193-157/,N193-157_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0006.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"127,1735,3237"
AU NBAC N193-157/,N193-157_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0007.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"133,1298,2473,3662"
AU NBAC N193-157/,N193-157_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0008.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"95,1282,2452,3634"
AU NBAC N193-157/,N193-157_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0009.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"100,1732,3235"
AU NBAC N193-157/,N193-157_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0010.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"127,1291,2469,3660"
AU NBAC N193-157/,N193-157_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0011.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"125,1302,2473,3656"
AU NBAC N193-157/,N193-157_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0012.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"124,1754,3255"
AU NBAC N193-157/,N193-157_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0013.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"120,1267,2445,3635"
AU NBAC N193-157/,N193-157_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0014.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"91,1270,2439,3622"
AU NBAC N193-157/,N193-157_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0015.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"82,1727,3227"
AU NBAC N193-157/,N193-157_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0016.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"101,1256,2434,3625"
AU NBAC N193-157/,N193-157_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0017.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"75,1263,2431,3614"
AU NBAC N193-157/,N193-157_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0018.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"117,1713,3212"
AU NBAC N193-157/,N193-157_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0019.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"83,1265,2441,3633"
AU NBAC N193-157/,N193-157_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0020.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"125,1278,2446,3628"
AU NBAC N193-157/,N193-157_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0021.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"136,1708,3206"
AU NBAC N193-157/,N193-157_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0022.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"53,1246,2424,3615"
AU NBAC N193-157/,N193-157_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0023.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"122,1261,2433,3615"
AU NBAC N193-157/,N193-157_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0024.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"0,1476,2973"
AU NBAC N193-157/,N193-157_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0025.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"115,1278,2455,3646"
AU NBAC N193-157/,N193-157_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0026.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,4,"146,1289,2460,3640"
AU NBAC N193-157/,N193-157_0027.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-157/N193-157_0027.tif,N193-157,1940-01-01,1940-03-01,1940,6375,5000,3,"130,1722,3224"
