directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-149/,N193-149_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0001.tif,N193-149,1938-01-01,1938-03-01,1938,6007,5000,4,"46,1272,2357,3448"
AU NBAC N193-149/,N193-149_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0002.tif,N193-149,1938-01-01,1938-03-01,1938,5990,5000,4,"217,1329,2415,3499"
AU NBAC N193-149/,N193-149_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0003.tif,N193-149,1938-01-01,1938-03-01,1938,5976,5000,3,"244,1697,3073"
AU NBAC N193-149/,N193-149_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0004.tif,N193-149,1938-01-01,1938-03-01,1938,5998,5000,4,"227,1330,2413,3505"
AU NBAC N193-149/,N193-149_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0005.tif,N193-149,1938-01-01,1938-03-01,1938,6001,5000,4,"192,1310,2396,3482"
AU NBAC N193-149/,N193-149_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0006.tif,N193-149,1938-01-01,1938-03-01,1938,5991,5000,3,"30,1667,3048"
AU NBAC N193-149/,N193-149_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0007.tif,N193-149,1938-01-01,1938-03-01,1938,6042,5000,4,"174,1285,2379,3477"
AU NBAC N193-149/,N193-149_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0008.tif,N193-149,1938-01-01,1938-03-01,1938,6037,5000,4,"181,1293,2387,3478"
AU NBAC N193-149/,N193-149_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0009.tif,N193-149,1938-01-01,1938-03-01,1938,6017,5000,3,"201,1663,3051"
AU NBAC N193-149/,N193-149_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0010.tif,N193-149,1938-01-01,1938-03-01,1938,6042,5000,4,"22,1283,2380,3478"
AU NBAC N193-149/,N193-149_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0011.tif,N193-149,1938-01-01,1938-03-01,1938,6040,5000,4,"24,1293,2385,3478"
AU NBAC N193-149/,N193-149_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0012.tif,N193-149,1938-01-01,1938-03-01,1938,6021,5000,3,"212,1663,3050"
AU NBAC N193-149/,N193-149_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0013.tif,N193-149,1938-01-01,1938-03-01,1938,6046,5000,4,"22,1293,2386,3483"
AU NBAC N193-149/,N193-149_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0014.tif,N193-149,1938-01-01,1938-03-01,1938,6035,5000,4,"36,1247,2335,3425"
AU NBAC N193-149/,N193-149_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0015.tif,N193-149,1938-01-01,1938-03-01,1938,5886,5000,3,"189,1578,2930"
AU NBAC N193-149/,N193-149_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0016.tif,N193-149,1938-01-01,1938-03-01,1938,5907,5000,4,"183,1234,2300,3372"
AU NBAC N193-149/,N193-149_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0017.tif,N193-149,1938-01-01,1938-03-01,1938,5896,5000,4,"188,1242,2306,3371"
AU NBAC N193-149/,N193-149_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0018.tif,N193-149,1938-01-01,1938-03-01,1938,5916,5000,3,"181,1594,2951"
AU NBAC N193-149/,N193-149_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0019.tif,N193-149,1938-01-01,1938-03-01,1938,5943,5000,4,"164,1241,2314,3387"
AU NBAC N193-149/,N193-149_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0020.tif,N193-149,1938-01-01,1938-03-01,1938,5936,5000,4,"174,1245,2316,3385"
AU NBAC N193-149/,N193-149_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0021.tif,N193-149,1938-01-01,1938-03-01,1938,5925,5000,3,"214,1628,2992"
AU NBAC N193-149/,N193-149_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0022.tif,N193-149,1938-01-01,1938-03-01,1938,5949,5000,4,"162,1240,2315,3392"
AU NBAC N193-149/,N193-149_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0023.tif,N193-149,1938-01-01,1938-03-01,1938,5714,5000,4,"115,1237,2276,3316"
AU NBAC N193-149/,N193-149_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0024.tif,N193-149,1938-01-01,1938-03-01,1938,5703,5000,3,"246,1649,2964"
AU NBAC N193-149/,N193-149_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0025.tif,N193-149,1938-01-01,1938-03-01,1938,5722,5000,4,"296,1340,2386,3428"
AU NBAC N193-149/,N193-149_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0026.tif,N193-149,1938-01-01,1938-03-01,1938,5755,5000,4,"259,1318,2364,3409"
AU NBAC N193-149/,N193-149_0027.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0027.tif,N193-149,1938-01-01,1938-03-01,1938,5836,5000,3,"203,1613,2964"
AU NBAC N193-149/,N193-149_0028.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0028.tif,N193-149,1938-01-01,1938-03-01,1938,5843,5000,4,"200,1272,2333,3399"
AU NBAC N193-149/,N193-149_0029.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0029.tif,N193-149,1938-01-01,1938-03-01,1938,5845,5000,4,"234,1269,2329,3392"
AU NBAC N193-149/,N193-149_0030.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0030.tif,N193-149,1938-01-01,1938-03-01,1938,5845,5000,3,"235,1620,2972"
AU NBAC N193-149/,N193-149_0031.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0031.tif,N193-149,1938-01-01,1938-03-01,1938,5861,5000,4,"189,1266,2329,3398"
AU NBAC N193-149/,N193-149_0032.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0032.tif,N193-149,1938-01-01,1938-03-01,1938,5853,5000,4,"195,1279,2343,3404"
AU NBAC N193-149/,N193-149_0033.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0033.tif,N193-149,1938-01-01,1938-03-01,1938,5849,5000,3,"195,1622,2972"
AU NBAC N193-149/,N193-149_0034.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0034.tif,N193-149,1938-01-01,1938-03-01,1938,5875,5000,4,"213,1257,2325,3397"
AU NBAC N193-149/,N193-149_0035.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0035.tif,N193-149,1938-01-01,1938-03-01,1938,5865,5000,4,"183,1257,2324,3392"
AU NBAC N193-149/,N193-149_0036.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0036.tif,N193-149,1938-01-01,1938-03-01,1938,5850,5000,3,"203,1623,2974"
AU NBAC N193-149/,N193-149_0037.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0037.tif,N193-149,1938-01-01,1938-03-01,1938,5865,5000,4,"181,1265,2330,3399"
AU NBAC N193-149/,N193-149_0038.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0038.tif,N193-149,1938-01-01,1938-03-01,1938,5838,5000,4,"184,1249,2309,3369"
AU NBAC N193-149/,N193-149_0039.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0039.tif,N193-149,1938-01-01,1938-03-01,1938,5838,5000,3,"218,1609,2957"
AU NBAC N193-149/,N193-149_0040.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0040.tif,N193-149,1938-01-01,1938-03-01,1938,5848,5000,4,"186,1264,2325,3385"
AU NBAC N193-149/,N193-149_0041.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0041.tif,N193-149,1938-01-01,1938-03-01,1938,5848,5000,4,"206,1249,2308,3368"
AU NBAC N193-149/,N193-149_0042.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0042.tif,N193-149,1938-01-01,1938-03-01,1938,5834,5000,3,"199,1603,2951"
AU NBAC N193-149/,N193-149_0043.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0043.tif,N193-149,1938-01-01,1938-03-01,1938,5853,5000,4,"173,1250,2315,3381"
AU NBAC N193-149/,N193-149_0044.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0044.tif,N193-149,1938-01-01,1938-03-01,1938,5860,5000,4,"185,1255,2315,3376"
AU NBAC N193-149/,N193-149_0045.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0045.tif,N193-149,1938-01-01,1938-03-01,1938,5847,5000,3,"193,1626,2976"
AU NBAC N193-149/,N193-149_0046.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0046.tif,N193-149,1938-01-01,1938-03-01,1938,5879,5000,4,"171,1258,2320,3386"
AU NBAC N193-149/,N193-149_0047.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0047.tif,N193-149,1938-01-01,1938-03-01,1938,5870,5000,4,"209,1269,2333,3395"
AU NBAC N193-149/,N193-149_0048.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-149/N193-149_0048.tif,N193-149,1938-01-01,1938-03-01,1938,5850,5000,3,"79,1627,2975"
