directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-169/,N193-169_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0001.tif,N193-169,1943-01-01,1943-03-01,1943,6280,5000,4,"0,1310,2463,3624"
AU NBAC N193-169/,N193-169_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0002.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"133,1324,2488,3649"
AU NBAC N193-169/,N193-169_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0003.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"144,1828,3310"
AU NBAC N193-169/,N193-169_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0004.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"146,1350,2512,3678"
AU NBAC N193-169/,N193-169_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0005.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"145,1330,2491,3657"
AU NBAC N193-169/,N193-169_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0006.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"145,1826,3307"
AU NBAC N193-169/,N193-169_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0007.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"153,1357,2520,3687"
AU NBAC N193-169/,N193-169_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0008.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"146,1323,2486,3650"
AU NBAC N193-169/,N193-169_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0009.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"145,1812,3294"
AU NBAC N193-169/,N193-169_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0010.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"145,1343,2506,3674"
AU NBAC N193-169/,N193-169_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0011.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"140,1315,2477,3641"
AU NBAC N193-169/,N193-169_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0012.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"141,1812,3294"
AU NBAC N193-169/,N193-169_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0013.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"147,1328,2490,3659"
AU NBAC N193-169/,N193-169_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0014.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"148,1318,2481,3645"
AU NBAC N193-169/,N193-169_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0015.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"104,1774,3255"
AU NBAC N193-169/,N193-169_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0016.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"120,1308,2471,3638"
AU NBAC N193-169/,N193-169_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0017.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"111,1279,2441,3607"
AU NBAC N193-169/,N193-169_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0018.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"103,1774,3253"
AU NBAC N193-169/,N193-169_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0019.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"97,1286,2448,3616"
AU NBAC N193-169/,N193-169_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0020.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"99,1259,2421,3585"
AU NBAC N193-169/,N193-169_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0021.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"112,1766,3244"
AU NBAC N193-169/,N193-169_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0022.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"134,1319,2482,3650"
AU NBAC N193-169/,N193-169_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0023.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"156,1345,2506,3671"
AU NBAC N193-169/,N193-169_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0024.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"160,1814,3295"
AU NBAC N193-169/,N193-169_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0025.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"156,1334,2495,3662"
AU NBAC N193-169/,N193-169_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0026.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"153,1339,2501,3665"
AU NBAC N193-169/,N193-169_0027.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0027.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"158,1815,3297"
AU NBAC N193-169/,N193-169_0028.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0028.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"149,1331,2492,3660"
AU NBAC N193-169/,N193-169_0029.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0029.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"151,1351,2514,3677"
AU NBAC N193-169/,N193-169_0030.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0030.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"152,1810,3290"
AU NBAC N193-169/,N193-169_0031.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0031.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"151,1333,2495,3663"
AU NBAC N193-169/,N193-169_0032.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0032.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"163,1350,2513,3678"
AU NBAC N193-169/,N193-169_0033.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0033.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"150,1814,3296"
AU NBAC N193-169/,N193-169_0034.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0034.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"147,1323,2484,3653"
AU NBAC N193-169/,N193-169_0035.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0035.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"149,1346,2508,3671"
AU NBAC N193-169/,N193-169_0036.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0036.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,3,"145,1803,3284"
AU NBAC N193-169/,N193-169_0037.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0037.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"154,1325,2487,3656"
AU NBAC N193-169/,N193-169_0038.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-169/N193-169_0038.tif,N193-169,1943-01-01,1943-03-01,1943,6300,5000,4,"146,1342,2502,3668"
