directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-185/,N193-185_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0001.tif,N193-185,1947-01-01,1947-03-01,1947,6217,5000,4,"29,1273,2407,3552"
AU NBAC N193-185/,N193-185_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0002.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"62,1259,2425,3601"
AU NBAC N193-185/,N193-185_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0003.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,3,"71,1709,3197"
AU NBAC N193-185/,N193-185_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0004.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"59,1237,2402,3583"
AU NBAC N193-185/,N193-185_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0005.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"66,1258,2425,3600"
AU NBAC N193-185/,N193-185_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0006.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,3,"61,1700,3187"
AU NBAC N193-185/,N193-185_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0007.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"61,1229,2395,3571"
AU NBAC N193-185/,N193-185_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0008.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"55,1229,2395,3570"
AU NBAC N193-185/,N193-185_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0009.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,3,"58,1688,3177"
AU NBAC N193-185/,N193-185_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0010.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"58,1213,2378,3557"
AU NBAC N193-185/,N193-185_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0011.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"51,1241,2407,3584"
AU NBAC N193-185/,N193-185_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0012.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,3,"50,1677,3165"
AU NBAC N193-185/,N193-185_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0013.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"44,1209,2376,3557"
AU NBAC N193-185/,N193-185_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0014.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,4,"139,1308,2475,3650"
AU NBAC N193-185/,N193-185_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-185/N193-185_0015.tif,N193-185,1947-01-01,1947-03-01,1947,6424,5000,3,"134,1766,3255"
