,directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions,page_date
0,AU NBAC N193-025/,N193-025_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0001.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,3,"9,1914,3327",1907-01-03
1,AU NBAC N193-025/,N193-025_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0002.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,3,"16,1994,3407",1907-01-03
2,AU NBAC N193-025/,N193-025_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0003.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,2,"9,2102",1907-01-03
3,AU NBAC N193-025/,N193-025_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0004.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,3,"14,1969,3385",1907-01-03
4,AU NBAC N193-025/,N193-025_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0005.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,2,"11,2113",1907-01-03
5,AU NBAC N193-025/,N193-025_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0006.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,3,"10,1966,3378",1907-01-04
6,AU NBAC N193-025/,N193-025_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0007.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,3,"13,1935,3351",1907-01-04
7,AU NBAC N193-025/,N193-025_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0008.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,2,"7,2085",1907-01-04
8,AU NBAC N193-025/,N193-025_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0009.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,3,"0,1915,3330",1907-01-04
9,AU NBAC N193-025/,N193-025_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-025/N193-025_0010.tif,N193-025,1907-01-01,1907-03-01,1907,6152,5000,2,"0,2062",1907-01-04
