directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-105/,N193-105_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0001.tif,N193-105,1927-01-01,1927-03-01,1927,6027,5000,3,"276,1895,3281"
AU NBAC N193-105/,N193-105_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0002.tif,N193-105,1927-01-01,1927-03-01,1927,5991,5000,4,"18,1535,2618,3703"
AU NBAC N193-105/,N193-105_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0003.tif,N193-105,1927-01-01,1927-03-01,1927,5980,5000,3,"15,1924,3297"
AU NBAC N193-105/,N193-105_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0004.tif,N193-105,1927-01-01,1927-03-01,1927,6008,5000,4,"36,1519,2604,3692"
AU NBAC N193-105/,N193-105_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0005.tif,N193-105,1927-01-01,1927-03-01,1927,5996,5000,3,"39,1913,3294"
AU NBAC N193-105/,N193-105_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0006.tif,N193-105,1927-01-01,1927-03-01,1927,6086,5000,3,"77,1854,3255"
AU NBAC N193-105/,N193-105_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0007.tif,N193-105,1927-01-01,1927-03-01,1927,6091,5000,4,"338,1484,2586,3690"
AU NBAC N193-105/,N193-105_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0008.tif,N193-105,1927-01-01,1927-03-01,1927,6100,5000,3,"69,1849,3253"
AU NBAC N193-105/,N193-105_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0009.tif,N193-105,1927-01-01,1927-03-01,1927,6103,5000,4,"70,1472,2576,3682"
AU NBAC N193-105/,N193-105_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-105/N193-105_0010.tif,N193-105,1927-01-01,1927-03-01,1927,6117,5000,3,"65,1852,3262"
