,directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions,page_date
0,AU NBAC N193-017/,N193-017_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0001.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"104,1671,3135",1905-01-05
1,AU NBAC N193-017/,N193-017_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0002.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"113,1672,3135",1905-01-05
2,AU NBAC N193-017/,N193-017_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0003.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,2,"105,2053",1905-01-05
3,AU NBAC N193-017/,N193-017_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0004.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"103,1658,3122",1905-01-05
4,AU NBAC N193-017/,N193-017_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0005.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,2,"105,2040",1905-01-05
5,AU NBAC N193-017/,N193-017_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0006.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"99,1652,3114",1905-01-06
6,AU NBAC N193-017/,N193-017_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0007.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"95,1660,3123",1905-01-06
7,AU NBAC N193-017/,N193-017_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0008.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,2,"103,2050",1905-01-06
8,AU NBAC N193-017/,N193-017_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0009.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"102,1664,3126",1905-01-06
9,AU NBAC N193-017/,N193-017_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0010.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,2,"108,2048",1905-01-06
10,AU NBAC N193-017/,N193-017_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0011.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"0,1665,3128",1905-01-07
11,AU NBAC N193-017/,N193-017_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0012.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,2,"104,2028",1905-01-07
12,AU NBAC N193-017/,N193-017_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0013.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"92,1651,3113",1905-01-09
13,AU NBAC N193-017/,N193-017_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0014.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,3,"92,1651,3112",1905-01-09
14,AU NBAC N193-017/,N193-017_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-017/N193-017_0015.tif,N193-017,1905-01-01,1905-03-01,1905,6163,4846,2,"102,2014",1905-01-09
