directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-089/,N193-089_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0001.tif,N193-089,1923-01-01,1923-03-01,1923,5991,4776,3,"11,1818,3189"
AU NBAC N193-089/,N193-089_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0002.tif,N193-089,1923-01-01,1923-03-01,1923,6077,4964,4,"208,1418,2544,3667"
AU NBAC N193-089/,N193-089_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0003.tif,N193-089,1923-01-01,1923-03-01,1923,6117,4967,3,"36,1967,3337"
AU NBAC N193-089/,N193-089_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0004.tif,N193-089,1923-01-01,1923-03-01,1923,6119,4976,4,"316,1426,2552,3674"
AU NBAC N193-089/,N193-089_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0005.tif,N193-089,1923-01-01,1923-03-01,1923,6157,4998,3,"244,1932,3304"
AU NBAC N193-089/,N193-089_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0006.tif,N193-089,1923-01-01,1923-03-01,1923,6157,5000,3,"300,1972,3342"
AU NBAC N193-089/,N193-089_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0007.tif,N193-089,1923-01-01,1923-03-01,1923,6118,4994,4,"301,1413,2538,3663"
AU NBAC N193-089/,N193-089_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0008.tif,N193-089,1923-01-01,1923-03-01,1923,6168,4985,3,"301,1987,3358"
AU NBAC N193-089/,N193-089_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0009.tif,N193-089,1923-01-01,1923-03-01,1923,6124,4998,4,"313,1418,2545,3669"
AU NBAC N193-089/,N193-089_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-089/N193-089_0010.tif,N193-089,1923-01-01,1923-03-01,1923,6157,4987,3,"275,1946,3319"
