directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-049/,N193-049_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0001.tif,N193-049,1913-01-01,1913-03-01,1913,6228,5000,3,"50,1959,3351"
AU NBAC N193-049/,N193-049_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0002.tif,N193-049,1913-01-01,1913-03-01,1913,6191,5000,3,"165,1973,3357"
AU NBAC N193-049/,N193-049_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0003.tif,N193-049,1913-01-01,1913-03-01,1913,6182,5000,3,"74,1494,2743"
AU NBAC N193-049/,N193-049_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0004.tif,N193-049,1913-01-01,1913-03-01,1913,6189,5000,3,"71,1974,3360"
AU NBAC N193-049/,N193-049_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0005.tif,N193-049,1913-01-01,1913-03-01,1913,6175,5000,3,"80,1498,2744"
AU NBAC N193-049/,N193-049_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0006.tif,N193-049,1913-01-01,1913-03-01,1913,6196,5000,3,"69,1986,3373"
AU NBAC N193-049/,N193-049_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0007.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"16,1957,3356"
AU NBAC N193-049/,N193-049_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0008.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"9,1439,2700"
AU NBAC N193-049/,N193-049_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0009.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"8,1931,3330"
AU NBAC N193-049/,N193-049_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0010.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"8,1436,2699"
AU NBAC N193-049/,N193-049_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0011.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"21,1917,3318"
AU NBAC N193-049/,N193-049_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0012.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"7,1418,2681"
AU NBAC N193-049/,N193-049_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0013.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"7,1932,3334"
AU NBAC N193-049/,N193-049_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0014.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"9,1415,2676"
AU NBAC N193-049/,N193-049_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0015.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"9,1898,3298"
AU NBAC N193-049/,N193-049_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0016.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"9,1894,3294"
AU NBAC N193-049/,N193-049_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0017.tif,N193-049,1913-01-01,1913-03-01,1913,6203,5000,3,"8,1408,2672"
AU NBAC N193-049/,N193-049_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0018.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"9,1936,3332"
AU NBAC N193-049/,N193-049_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0019.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"9,1422,2684"
AU NBAC N193-049/,N193-049_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0020.tif,N193-049,1913-01-01,1913-03-01,1913,6210,5000,3,"10,1890,3292"
AU NBAC N193-049/,N193-049_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0021.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"11,1910,3311"
AU NBAC N193-049/,N193-049_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0022.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"10,1431,2696"
AU NBAC N193-049/,N193-049_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0023.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"160,1855,3254"
AU NBAC N193-049/,N193-049_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0024.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"158,1391,2654"
AU NBAC N193-049/,N193-049_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0025.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"125,1814,3216"
AU NBAC N193-049/,N193-049_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0026.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"14,1388,2653"
AU NBAC N193-049/,N193-049_0027.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0027.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"24,1914,3318"
AU NBAC N193-049/,N193-049_0028.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0028.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"210,1463,2727"
AU NBAC N193-049/,N193-049_0029.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-049/N193-049_0029.tif,N193-049,1913-01-01,1913-03-01,1913,6202,5000,3,"226,1942,3341"
