directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-181/,N193-181_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0001.tif,N193-181,1946-01-01,1946-03-01,1946,6271,5000,4,"306,1391,2541,3693"
AU NBAC N193-181/,N193-181_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0002.tif,N193-181,1946-01-01,1946-03-01,1946,6271,5000,4,"273,1456,2603,3750"
AU NBAC N193-181/,N193-181_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0003.tif,N193-181,1946-01-01,1946-03-01,1946,6271,5000,3,"0,1842,3306"
AU NBAC N193-181/,N193-181_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0004.tif,N193-181,1946-01-01,1946-03-01,1946,6271,5000,4,"141,1289,2438,3592"
AU NBAC N193-181/,N193-181_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0005.tif,N193-181,1946-01-01,1946-03-01,1946,6396,5000,4,"139,1371,2540,3712"
AU NBAC N193-181/,N193-181_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0006.tif,N193-181,1946-01-01,1946-03-01,1946,6396,5000,3,"154,1785,3279"
AU NBAC N193-181/,N193-181_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0007.tif,N193-181,1946-01-01,1946-03-01,1946,6396,5000,4,"201,1311,2484,3660"
AU NBAC N193-181/,N193-181_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0008.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"131,1361,2547,3736"
AU NBAC N193-181/,N193-181_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0009.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,3,"128,1777,3293"
AU NBAC N193-181/,N193-181_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0010.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"176,1300,2489,3684"
AU NBAC N193-181/,N193-181_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0011.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"124,1349,2535,3723"
AU NBAC N193-181/,N193-181_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0012.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,3,"0,1778,3293"
AU NBAC N193-181/,N193-181_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0013.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"123,1297,2485,3680"
AU NBAC N193-181/,N193-181_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0014.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"95,1334,2521,3712"
AU NBAC N193-181/,N193-181_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0015.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,3,"97,1766,3283"
AU NBAC N193-181/,N193-181_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0016.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"67,1265,2451,3645"
AU NBAC N193-181/,N193-181_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0017.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"83,1337,2522,3707"
AU NBAC N193-181/,N193-181_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0018.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,3,"77,1754,3269"
AU NBAC N193-181/,N193-181_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0019.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"83,1284,2472,3665"
AU NBAC N193-181/,N193-181_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-181/N193-181_0020.tif,N193-181,1946-01-01,1946-03-01,1946,6483,5000,4,"82,1341,2523,3711"
