directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-113/,N193-113_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0001.tif,N193-113,1929-01-01,1929-03-01,1929,5981,5000,3,"34,1803,3186"
AU NBAC N193-113/,N193-113_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0002.tif,N193-113,1929-01-01,1929-03-01,1929,5985,5000,4,"277,1428,2516,3606"
AU NBAC N193-113/,N193-113_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0003.tif,N193-113,1929-01-01,1929-03-01,1929,5982,5000,4,"280,1433,2521,3610"
AU NBAC N193-113/,N193-113_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0004.tif,N193-113,1929-01-01,1929-03-01,1929,5981,5000,3,"276,1832,3217"
AU NBAC N193-113/,N193-113_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0005.tif,N193-113,1929-01-01,1929-03-01,1929,5949,5000,3,"324,1854,3232"
AU NBAC N193-113/,N193-113_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0006.tif,N193-113,1929-01-01,1929-03-01,1929,6014,5000,3,"76,1814,3208"
AU NBAC N193-113/,N193-113_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0007.tif,N193-113,1929-01-01,1929-03-01,1929,6010,5000,4,"265,1426,2518,3612"
AU NBAC N193-113/,N193-113_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0008.tif,N193-113,1929-01-01,1929-03-01,1929,6011,5000,3,"257,1806,3200"
AU NBAC N193-113/,N193-113_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0009.tif,N193-113,1929-01-01,1929-03-01,1929,6132,5000,4,"157,1308,2414,3501"
AU NBAC N193-113/,N193-113_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0010.tif,N193-113,1929-01-01,1929-03-01,1929,6029,5000,3,"215,1752,3149"
AU NBAC N193-113/,N193-113_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0011.tif,N193-113,1929-01-01,1929-03-01,1929,6046,5000,3,"195,1739,3138"
AU NBAC N193-113/,N193-113_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0012.tif,N193-113,1929-01-01,1929-03-01,1929,6070,5000,4,"122,1265,2363,3465"
AU NBAC N193-113/,N193-113_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0013.tif,N193-113,1929-01-01,1929-03-01,1929,6106,5000,3,"147,1680,3075"
AU NBAC N193-113/,N193-113_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0014.tif,N193-113,1929-01-01,1929-03-01,1929,6076,5000,4,"187,1324,2420,3480"
AU NBAC N193-113/,N193-113_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-113/N193-113_0015.tif,N193-113,1929-01-01,1929-03-01,1929,6074,5000,3,"192,1718,3107"
