directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-133/,N193-133_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0001.tif,N193-133,1934-01-01,1934-03-01,1934,6146,4981,3,"157,1816,3236"
AU NBAC N193-133/,N193-133_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0002.tif,N193-133,1934-01-01,1934-03-01,1934,6149,5000,4,"238,1402,2513,3630"
AU NBAC N193-133/,N193-133_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0003.tif,N193-133,1934-01-01,1934-03-01,1934,6143,4989,3,"41,1828,3242"
AU NBAC N193-133/,N193-133_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0004.tif,N193-133,1934-01-01,1934-03-01,1934,6144,4921,3,"49,1782,3199"
AU NBAC N193-133/,N193-133_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0005.tif,N193-133,1934-01-01,1934-03-01,1934,6146,4927,4,"47,1356,2468,3587"
AU NBAC N193-133/,N193-133_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0006.tif,N193-133,1934-01-01,1934-03-01,1934,6148,4915,3,"41,1765,3182"
AU NBAC N193-133/,N193-133_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0007.tif,N193-133,1934-01-01,1934-03-01,1934,6147,4930,4,"212,1358,2469,3587"
AU NBAC N193-133/,N193-133_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0008.tif,N193-133,1934-01-01,1934-03-01,1934,6146,4914,3,"40,1766,3184"
AU NBAC N193-133/,N193-133_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0009.tif,N193-133,1934-01-01,1934-03-01,1934,6167,4932,3,"50,1760,3181"
AU NBAC N193-133/,N193-133_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0010.tif,N193-133,1934-01-01,1934-03-01,1934,6161,4955,4,"133,1327,2444,3574"
AU NBAC N193-133/,N193-133_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0011.tif,N193-133,1934-01-01,1934-03-01,1934,6156,4951,3,"163,1777,3194"
AU NBAC N193-133/,N193-133_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0012.tif,N193-133,1934-01-01,1934-03-01,1934,6158,4969,4,"200,1373,2489,3610"
AU NBAC N193-133/,N193-133_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0013.tif,N193-133,1934-01-01,1934-03-01,1934,6157,4951,3,"180,1779,3195"
AU NBAC N193-133/,N193-133_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0014.tif,N193-133,1934-01-01,1934-03-01,1934,6156,4953,3,"181,1779,3197"
AU NBAC N193-133/,N193-133_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0015.tif,N193-133,1934-01-01,1934-03-01,1934,6156,4965,4,"185,1368,2484,3603"
AU NBAC N193-133/,N193-133_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0016.tif,N193-133,1934-01-01,1934-03-01,1934,6150,4950,3,"169,1769,3190"
AU NBAC N193-133/,N193-133_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0017.tif,N193-133,1934-01-01,1934-03-01,1934,6133,5000,4,"180,1384,2493,3611"
AU NBAC N193-133/,N193-133_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0018.tif,N193-133,1934-01-01,1934-03-01,1934,6155,4933,3,"24,1761,3180"
AU NBAC N193-133/,N193-133_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0019.tif,N193-133,1934-01-01,1934-03-01,1934,6158,4942,3,"35,1767,3185"
AU NBAC N193-133/,N193-133_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0020.tif,N193-133,1934-01-01,1934-03-01,1934,6159,4955,4,"47,1341,2458,3579"
AU NBAC N193-133/,N193-133_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0021.tif,N193-133,1934-01-01,1934-03-01,1934,6152,4946,3,"37,1765,3182"
AU NBAC N193-133/,N193-133_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0022.tif,N193-133,1934-01-01,1934-03-01,1934,6153,4960,4,"220,1357,2472,3591"
AU NBAC N193-133/,N193-133_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-133/N193-133_0023.tif,N193-133,1934-01-01,1934-03-01,1934,6152,4950,3,"40,1775,3192"
