directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-085/,N193-085_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0001.tif,N193-085,1922-01-01,1922-03-01,1922,5986,5000,3,"16,1922,3258"
AU NBAC N193-085/,N193-085_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0002.tif,N193-085,1922-01-01,1922-03-01,1922,5921,5000,4,"250,1417,2497,3584"
AU NBAC N193-085/,N193-085_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0003.tif,N193-085,1922-01-01,1922-03-01,1922,5914,5000,3,"9,1949,3267"
AU NBAC N193-085/,N193-085_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0004.tif,N193-085,1922-01-01,1922-03-01,1922,5962,5000,4,"298,1415,2505,3596"
AU NBAC N193-085/,N193-085_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0005.tif,N193-085,1922-01-01,1922-03-01,1922,5963,5000,3,"298,1923,3252"
AU NBAC N193-085/,N193-085_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0006.tif,N193-085,1922-01-01,1922-03-01,1922,5969,5000,3,"296,1928,3256"
AU NBAC N193-085/,N193-085_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0007.tif,N193-085,1922-01-01,1922-03-01,1922,5976,5000,4,"283,1403,2495,3589"
AU NBAC N193-085/,N193-085_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0008.tif,N193-085,1922-01-01,1922-03-01,1922,5966,5000,3,"305,1925,3255"
AU NBAC N193-085/,N193-085_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0009.tif,N193-085,1922-01-01,1922-03-01,1922,5972,5000,4,"293,1416,2507,3602"
AU NBAC N193-085/,N193-085_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0010.tif,N193-085,1922-01-01,1922-03-01,1922,5973,5000,3,"296,1913,3240"
AU NBAC N193-085/,N193-085_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0011.tif,N193-085,1922-01-01,1922-03-01,1922,5973,5000,3,"276,1907,3237"
AU NBAC N193-085/,N193-085_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0012.tif,N193-085,1922-01-01,1922-03-01,1922,5968,5000,4,"280,1395,2485,3576"
AU NBAC N193-085/,N193-085_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0013.tif,N193-085,1922-01-01,1922-03-01,1922,5968,5000,3,"291,1914,3241"
AU NBAC N193-085/,N193-085_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0014.tif,N193-085,1922-01-01,1922-03-01,1922,5985,5000,4,"215,1368,2460,3555"
AU NBAC N193-085/,N193-085_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0015.tif,N193-085,1922-01-01,1922-03-01,1922,5971,5000,3,"278,1901,3229"
AU NBAC N193-085/,N193-085_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0016.tif,N193-085,1922-01-01,1922-03-01,1922,5980,5000,3,"233,1892,3223"
AU NBAC N193-085/,N193-085_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0017.tif,N193-085,1922-01-01,1922-03-01,1922,5988,5000,4,"223,1372,2465,3560"
AU NBAC N193-085/,N193-085_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0018.tif,N193-085,1922-01-01,1922-03-01,1922,5971,5000,3,"243,1897,3223"
AU NBAC N193-085/,N193-085_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0019.tif,N193-085,1922-01-01,1922-03-01,1922,5981,5000,4,"241,1369,2462,3557"
AU NBAC N193-085/,N193-085_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0020.tif,N193-085,1922-01-01,1922-03-01,1922,5975,5000,3,"237,1885,3216"
AU NBAC N193-085/,N193-085_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0021.tif,N193-085,1922-01-01,1922-03-01,1922,5962,5000,3,"208,1894,3225"
AU NBAC N193-085/,N193-085_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0022.tif,N193-085,1922-01-01,1922-03-01,1922,5903,5000,4,"272,1387,2468,3552"
AU NBAC N193-085/,N193-085_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0023.tif,N193-085,1922-01-01,1922-03-01,1922,5899,5000,3,"312,1894,3211"
AU NBAC N193-085/,N193-085_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0024.tif,N193-085,1922-01-01,1922-03-01,1922,5892,5000,4,"297,1383,2462,3544"
AU NBAC N193-085/,N193-085_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0025.tif,N193-085,1922-01-01,1922-03-01,1922,5886,5000,3,"301,1849,3165"
AU NBAC N193-085/,N193-085_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0026.tif,N193-085,1922-01-01,1922-03-01,1922,5902,5000,3,"304,1876,3196"
AU NBAC N193-085/,N193-085_0027.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0027.tif,N193-085,1922-01-01,1922-03-01,1922,5888,5000,4,"310,1390,2470,3553"
AU NBAC N193-085/,N193-085_0028.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0028.tif,N193-085,1922-01-01,1922-03-01,1922,5899,5000,3,"316,1890,3209"
AU NBAC N193-085/,N193-085_0029.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0029.tif,N193-085,1922-01-01,1922-03-01,1922,5886,5000,4,"323,1405,2485,3567"
AU NBAC N193-085/,N193-085_0030.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0030.tif,N193-085,1922-01-01,1922-03-01,1922,5899,5000,3,"299,1889,3207"
AU NBAC N193-085/,N193-085_0031.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0031.tif,N193-085,1922-01-01,1922-03-01,1922,5903,5000,4,"271,1386,2471,3554"
AU NBAC N193-085/,N193-085_0032.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0032.tif,N193-085,1922-01-01,1922-03-01,1922,5900,5000,3,"278,1879,3198"
AU NBAC N193-085/,N193-085_0033.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0033.tif,N193-085,1922-01-01,1922-03-01,1922,5886,5000,3,"314,1893,3208"
AU NBAC N193-085/,N193-085_0034.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0034.tif,N193-085,1922-01-01,1922-03-01,1922,5919,5000,4,"244,1380,2466,3552"
AU NBAC N193-085/,N193-085_0035.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0035.tif,N193-085,1922-01-01,1922-03-01,1922,5898,5000,3,"291,1892,3208"
AU NBAC N193-085/,N193-085_0036.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0036.tif,N193-085,1922-01-01,1922-03-01,1922,5883,5000,4,"315,1403,2482,3563"
AU NBAC N193-085/,N193-085_0037.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0037.tif,N193-085,1922-01-01,1922-03-01,1922,5892,5000,3,"303,1892,3209"
AU NBAC N193-085/,N193-085_0038.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0038.tif,N193-085,1922-01-01,1922-03-01,1922,5888,5000,3,"310,1886,3202"
AU NBAC N193-085/,N193-085_0039.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0039.tif,N193-085,1922-01-01,1922-03-01,1922,5879,5000,4,"288,1393,2472,3553"
AU NBAC N193-085/,N193-085_0040.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0040.tif,N193-085,1922-01-01,1922-03-01,1922,5885,5000,3,"285,1883,3200"
AU NBAC N193-085/,N193-085_0041.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0041.tif,N193-085,1922-01-01,1922-03-01,1922,5873,5000,4,"289,1396,2475,3553"
AU NBAC N193-085/,N193-085_0042.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0042.tif,N193-085,1922-01-01,1922-03-01,1922,5906,5000,3,"258,1867,3186"
AU NBAC N193-085/,N193-085_0043.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0043.tif,N193-085,1922-01-01,1922-03-01,1922,5905,5000,3,"251,1864,3183"
AU NBAC N193-085/,N193-085_0044.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0044.tif,N193-085,1922-01-01,1922-03-01,1922,5913,5000,4,"234,1333,2412,3493"
AU NBAC N193-085/,N193-085_0045.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0045.tif,N193-085,1922-01-01,1922-03-01,1922,5903,5000,3,"243,1848,3165"
AU NBAC N193-085/,N193-085_0046.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0046.tif,N193-085,1922-01-01,1922-03-01,1922,5886,5000,4,"245,1399,2480,3562"
AU NBAC N193-085/,N193-085_0047.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0047.tif,N193-085,1922-01-01,1922-03-01,1922,5895,5000,3,"311,1874,3191"
AU NBAC N193-085/,N193-085_0048.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0048.tif,N193-085,1922-01-01,1922-03-01,1922,5894,5000,3,"308,1877,3192"
AU NBAC N193-085/,N193-085_0049.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0049.tif,N193-085,1922-01-01,1922-03-01,1922,5894,5000,4,"306,1393,2472,3555"
AU NBAC N193-085/,N193-085_0050.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0050.tif,N193-085,1922-01-01,1922-03-01,1922,5892,5000,3,"297,1871,3187"
AU NBAC N193-085/,N193-085_0051.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0051.tif,N193-085,1922-01-01,1922-03-01,1922,5891,5000,4,"305,1392,2472,3550"
AU NBAC N193-085/,N193-085_0052.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0052.tif,N193-085,1922-01-01,1922-03-01,1922,5894,5000,3,"314,1893,3212"
AU NBAC N193-085/,N193-085_0053.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0053.tif,N193-085,1922-01-01,1922-03-01,1922,5899,5000,3,"304,1884,3200"
AU NBAC N193-085/,N193-085_0054.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0054.tif,N193-085,1922-01-01,1922-03-01,1922,5891,5000,4,"296,1393,2472,3554"
AU NBAC N193-085/,N193-085_0055.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0055.tif,N193-085,1922-01-01,1922-03-01,1922,5893,5000,3,"298,1877,3192"
AU NBAC N193-085/,N193-085_0056.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0056.tif,N193-085,1922-01-01,1922-03-01,1922,5892,5000,4,"293,1383,2463,3543"
AU NBAC N193-085/,N193-085_0057.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-085/N193-085_0057.tif,N193-085,1922-01-01,1922-03-01,1922,5894,5000,3,"299,1880,3195"
