directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-021/,N193-021_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0001.tif,N193-021,1906-01-01,1906-03-01,1906,6356,5000,3,"66,1874,3339"
AU NBAC N193-021/,N193-021_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0002.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"0,1869,3336"
AU NBAC N193-021/,N193-021_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0003.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,2,"98,1977"
AU NBAC N193-021/,N193-021_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0004.tif,N193-021,1906-01-01,1906-03-01,1906,6284,5000,3,"106,1889,3353"
AU NBAC N193-021/,N193-021_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0005.tif,N193-021,1906-01-01,1906-03-01,1906,6284,5000,2,"4,1970"
AU NBAC N193-021/,N193-021_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0006.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"10,1864,3335"
AU NBAC N193-021/,N193-021_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0007.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"97,1866,3338"
AU NBAC N193-021/,N193-021_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0008.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,2,"95,1960"
AU NBAC N193-021/,N193-021_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0009.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"94,1861,3333"
AU NBAC N193-021/,N193-021_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0010.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,2,"93,1949"
AU NBAC N193-021/,N193-021_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0011.tif,N193-021,1906-01-01,1906-03-01,1906,6316,5000,3,"90,1843,3313"
AU NBAC N193-021/,N193-021_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0012.tif,N193-021,1906-01-01,1906-03-01,1906,6243,5000,2,"112,1951"
AU NBAC N193-021/,N193-021_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0013.tif,N193-021,1906-01-01,1906-03-01,1906,6258,5000,3,"107,1858,3321"
AU NBAC N193-021/,N193-021_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0014.tif,N193-021,1906-01-01,1906-03-01,1906,6258,5000,3,"100,1858,3321"
AU NBAC N193-021/,N193-021_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-021/N193-021_0015.tif,N193-021,1906-01-01,1906-03-01,1906,6258,5000,2,"87,1928"
