directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-057/,N193-057_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0001.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"71,1772,3141"
AU NBAC N193-057/,N193-057_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0002.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"120,1396,2633"
AU NBAC N193-057/,N193-057_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0003.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"133,1794,3165"
AU NBAC N193-057/,N193-057_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0004.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"161,1441,2683"
AU NBAC N193-057/,N193-057_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0005.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"0,1849,3218"
AU NBAC N193-057/,N193-057_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0006.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"194,1844,3214"
AU NBAC N193-057/,N193-057_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0007.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"201,1451,2690"
AU NBAC N193-057/,N193-057_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0008.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"216,1860,3231"
AU NBAC N193-057/,N193-057_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0009.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"210,1525,2769"
AU NBAC N193-057/,N193-057_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0010.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"218,1854,3226"
AU NBAC N193-057/,N193-057_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0011.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"220,1458,2699"
AU NBAC N193-057/,N193-057_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0012.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"238,1857,3229"
AU NBAC N193-057/,N193-057_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-057/N193-057_0013.tif,N193-057,1915-01-01,1915-03-01,1915,6026,4738,3,"231,1862,3232"
