directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-061/,N193-061_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0001.tif,N193-061,1916-01-01,1916-03-01,1916,6319,4898,3,"67,1834,3273"
AU NBAC N193-061/,N193-061_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0002.tif,N193-061,1916-01-01,1916-03-01,1916,6319,4898,3,"78,1360,2665"
AU NBAC N193-061/,N193-061_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0003.tif,N193-061,1916-01-01,1916-03-01,1916,6319,4898,3,"0,1826,3264"
AU NBAC N193-061/,N193-061_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0004.tif,N193-061,1916-01-01,1916-03-01,1916,6293,4937,3,"127,1408,2712"
AU NBAC N193-061/,N193-061_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0005.tif,N193-061,1916-01-01,1916-03-01,1916,6293,4937,3,"0,1878,3318"
AU NBAC N193-061/,N193-061_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0006.tif,N193-061,1916-01-01,1916-03-01,1916,6293,4937,3,"0,1880,3320"
AU NBAC N193-061/,N193-061_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0007.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4898,3,"125,1380,2683"
AU NBAC N193-061/,N193-061_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0008.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4898,3,"0,1883,3323"
AU NBAC N193-061/,N193-061_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0009.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4898,3,"115,1388,2691"
AU NBAC N193-061/,N193-061_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0010.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4898,3,"0,1850,3287"
AU NBAC N193-061/,N193-061_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0011.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4924,3,"0,1861,3297"
AU NBAC N193-061/,N193-061_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0012.tif,N193-061,1916-01-01,1916-03-01,1916,6293,4924,3,"85,1382,2687"
AU NBAC N193-061/,N193-061_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0013.tif,N193-061,1916-01-01,1916-03-01,1916,6293,4963,3,"145,1875,3314"
AU NBAC N193-061/,N193-061_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0014.tif,N193-061,1916-01-01,1916-03-01,1916,6267,4936,3,"107,1399,2703"
AU NBAC N193-061/,N193-061_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0015.tif,N193-061,1916-01-01,1916-03-01,1916,6267,4936,3,"223,1918,3357"
AU NBAC N193-061/,N193-061_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0016.tif,N193-061,1916-01-01,1916-03-01,1916,6267,4936,3,"214,1927,3366"
AU NBAC N193-061/,N193-061_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0017.tif,N193-061,1916-01-01,1916-03-01,1916,6267,4936,3,"99,1384,2688"
AU NBAC N193-061/,N193-061_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0018.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"149,1874,3312"
AU NBAC N193-061/,N193-061_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0019.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"147,1382,2688"
AU NBAC N193-061/,N193-061_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0020.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"193,1886,3325"
AU NBAC N193-061/,N193-061_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0021.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"205,1887,3325"
AU NBAC N193-061/,N193-061_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0022.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"152,1392,2696"
AU NBAC N193-061/,N193-061_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0023.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"158,1863,3300"
AU NBAC N193-061/,N193-061_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0024.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"58,1295,2602"
AU NBAC N193-061/,N193-061_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0025.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"143,1840,3277"
AU NBAC N193-061/,N193-061_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0026.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"12,1256,2561"
AU NBAC N193-061/,N193-061_0027.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0027.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"173,1809,3247"
AU NBAC N193-061/,N193-061_0028.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0028.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"118,1818,3256"
AU NBAC N193-061/,N193-061_0029.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0029.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"72,1308,2615"
AU NBAC N193-061/,N193-061_0030.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0030.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"136,1806,3244"
AU NBAC N193-061/,N193-061_0031.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0031.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"36,1273,2577"
AU NBAC N193-061/,N193-061_0032.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0032.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"97,1791,3227"
AU NBAC N193-061/,N193-061_0033.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0033.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"155,1800,3238"
AU NBAC N193-061/,N193-061_0034.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0034.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"46,1288,2593"
AU NBAC N193-061/,N193-061_0035.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0035.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"125,1783,3219"
AU NBAC N193-061/,N193-061_0036.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0036.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"123,1364,2667"
AU NBAC N193-061/,N193-061_0037.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0037.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"115,1798,3237"
AU NBAC N193-061/,N193-061_0038.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0038.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"130,1783,3220"
AU NBAC N193-061/,N193-061_0039.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0039.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"131,1378,2683"
AU NBAC N193-061/,N193-061_0040.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0040.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"129,1834,3271"
AU NBAC N193-061/,N193-061_0041.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0041.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"100,1400,2706"
AU NBAC N193-061/,N193-061_0042.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-061/N193-061_0042.tif,N193-061,1916-01-01,1916-03-01,1916,6280,4935,3,"198,1897,3334"
