directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-009/,N193-009_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0001.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"176,1620,3120"
AU NBAC N193-009/,N193-009_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0002.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"0,1723,3223"
AU NBAC N193-009/,N193-009_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0003.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"0,2234"
AU NBAC N193-009/,N193-009_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0004.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"284,1704,3204"
AU NBAC N193-009/,N193-009_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0005.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"0,2235"
AU NBAC N193-009/,N193-009_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0006.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"257,1729,3229"
AU NBAC N193-009/,N193-009_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0007.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"252,1728,3228"
AU NBAC N193-009/,N193-009_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0008.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"266,2266"
AU NBAC N193-009/,N193-009_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0009.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"257,2258"
AU NBAC N193-009/,N193-009_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0010.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"232,1712,3212"
AU NBAC N193-009/,N193-009_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0011.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"225,1705,3204"
AU NBAC N193-009/,N193-009_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0012.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"234,2243"
AU NBAC N193-009/,N193-009_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0013.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"236,1726,3226"
AU NBAC N193-009/,N193-009_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0014.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"233,2242"
AU NBAC N193-009/,N193-009_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0015.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"243,1710,3210"
AU NBAC N193-009/,N193-009_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0016.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"240,1722,3220"
AU NBAC N193-009/,N193-009_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0017.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"262,2252"
AU NBAC N193-009/,N193-009_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0018.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"164,1658,3160"
AU NBAC N193-009/,N193-009_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0019.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"261,2278"
AU NBAC N193-009/,N193-009_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0020.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"212,1689,3189"
AU NBAC N193-009/,N193-009_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0021.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"214,2234"
AU NBAC N193-009/,N193-009_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0022.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"231,1705,3204"
AU NBAC N193-009/,N193-009_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0023.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"236,2256"
AU NBAC N193-009/,N193-009_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0024.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"228,1724,3224"
AU NBAC N193-009/,N193-009_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0025.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"284,2249"
AU NBAC N193-009/,N193-009_0026.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0026.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"231,1665,3162"
AU NBAC N193-009/,N193-009_0027.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0027.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"228,1670,3168"
AU NBAC N193-009/,N193-009_0028.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0028.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"215,2197"
AU NBAC N193-009/,N193-009_0029.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0029.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"32,1663,3162"
AU NBAC N193-009/,N193-009_0030.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0030.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"211,2201"
AU NBAC N193-009/,N193-009_0031.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0031.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"220,1649,3147"
AU NBAC N193-009/,N193-009_0032.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0032.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"329,1801,3304"
AU NBAC N193-009/,N193-009_0033.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0033.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"259,2209"
AU NBAC N193-009/,N193-009_0034.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0034.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"212,1670,3169"
AU NBAC N193-009/,N193-009_0035.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0035.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"241,2208"
AU NBAC N193-009/,N193-009_0036.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0036.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"217,1649,3148"
AU NBAC N193-009/,N193-009_0037.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0037.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"234,1665,3166"
AU NBAC N193-009/,N193-009_0038.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0038.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"237,2202"
AU NBAC N193-009/,N193-009_0039.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0039.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"199,1646,3145"
AU NBAC N193-009/,N193-009_0040.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0040.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"216,2195"
AU NBAC N193-009/,N193-009_0041.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0041.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"22,1685,3179"
AU NBAC N193-009/,N193-009_0042.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0042.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"200,1686,3181"
AU NBAC N193-009/,N193-009_0043.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0043.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"201,2212"
AU NBAC N193-009/,N193-009_0044.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0044.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"145,1632,3129"
AU NBAC N193-009/,N193-009_0045.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0045.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"152,2171"
AU NBAC N193-009/,N193-009_0046.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0046.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"162,1628,3129"
AU NBAC N193-009/,N193-009_0047.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0047.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,3,"167,1616,3115"
AU NBAC N193-009/,N193-009_0048.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-009/N193-009_0048.tif,N193-009,1903-01-01,1903-03-01,1903,6405,4973,2,"166,2173"
